joint_name,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22
back_bkz,-0.04641133741733661,0.0004890141679259052,-0.10889672390375937,0.0,0.0,1.0,1.0,0.0,-0.788,-0.3142857142857143,1.0,0.0,0.33333333333333326,0.6666666666666667,-0.14417934782608696,0.14417934782608696,1.0,1.0,0.875,1.0195599999999998,-0.3666032077561102,0.029417670890350855,0.9992844704038828
back_bky,-0.04641133741733661,0.0004890141679259052,0.05316125473624256,0.0,-1.0,0.0,1.0,0.0,-0.10999999999999999,-0.48571428571428577,1.0,0.0,0.33333333333333326,0.6666666666666667,-0.1171267391304348,0.04769304347826087,1.0,1.0,0.875,1.0195599999999998,-0.3666032077561102,0.029417670890350855,0.9992844704038828
back_bkx,-0.04641133741733661,0.0004890141679259052,0.1031791493782186,-1.0,0.0,0.0,1.0,0.0,-0.4,-0.3142857142857143,1.0,0.0,1.0,0.6666666666666667,-0.11382586956521741,0.11382586956521741,1.0,1.0,0.875,1.0195599999999998,-0.3666032077561102,0.029417670890350855,0.9992844704038828
l_arm_shz,0.39754417900359873,0.4387950708433994,0.5809500789983724,0.0,0.0,1.0,0.0,0.0,-0.8260000000000001,-0.3142857142857143,-1.0,0.0,-1.0,0.6666666666666667,-0.34147826086956523,0.17073869565217392,1.0,1.0,0.875,1.0195599999999998,-0.3666032077561102,0.029417670890350855,0.9992844704038828
l_arm_shx,0.39754417900359873,0.6525081303926106,0.33586239525269024,-0.9999999999999998,0.0,0.0,0.0,-0.06521739130434782,-0.802,-0.3142857142857143,-1.0,0.0,-1.0,0.6666666666666667,-0.34147826086956523,0.34147826086956523,1.0,1.0,0.875,1.0195599999999998,-0.3666032077561102,0.029417670890350855,0.9992844704038828
l_arm_ely,0.39754417900359873,0.7301757717616382,0.15242037253931207,0.0,-0.29551669751247833,0.9553375746254922,0.0,-0.682608695652174,-0.874,-0.3142857142857143,-1.0,0.0,-1.0,0.6666666666666667,-0.682954347826087,0.0,1.0,1.0,0.875,1.0195599999999998,-0.3666032077561102,0.029417670890350855,0.9992844704038828
l_arm_elx,0.39759044512622865,0.7814229830934527,0.035974790859869765,-0.9999987317275395,-0.0015215211744567432,-0.00047065553016380484,0.0,0.06521739130434782,-0.776,-0.3142857142857143,-1.0,0.0,-1.0,0.6666666666666667,0.0,0.5122152173913044,1.0,1.0,0.875,1.0195599999999998,-0.3666032077561102,0.029417670890350855,0.9992844704038828
l_arm_wry,0.39799137340898283,0.7993146446573371,-0.2636824198894465,-0.00047066111901997263,3.315144447624263e-06,0.999999889233554,0.0,0.0,-0.95,-0.4285714285714286,-1.0,0.0,-1.0,0.6666666666666667,-0.6545652173913045,0.6545652173913045,1.0,1.0,0.875,1.0195599999999998,-0.3666032077561102,0.029417670890350855,0.9992844704038828
l_arm_wrx,0.39799137340898283,0.7993146446573371,-0.2636824198894465,-0.9999987317275387,-0.001521521174456743,-0.0004706555301638046,-1.0,0.0,-0.95,-0.4285714285714286,-1.0,0.0,-1.0,0.6666666666666667,-0.38321739130434784,0.38321739130434784,1.0,1.0,0.875,1.0195599999999998,-0.3666032077561102,0.029417670890350855,0.9992844704038828
r_arm_shz,0.39754417900359873,-0.4378170425075476,0.5809500789983724,0.0,0.0,1.0,0.0,0.0,-0.8260000000000001,-0.3142857142857143,-1.0,0.0,-1.0,0.6666666666666667,-0.17073869565217392,0.34147826086956523,1.0,1.0,0.875,1.0195599999999998,-0.3666032077561102,0.029417670890350855,0.9992844704038828
